,0
2446,1995
2447,
2448,1996
2449,1996
2450,1997
2451,1997
2452,1997
2453,
2454,1996
2455,1997
2456,1996
2457,
2458,1996
2459,1997
2460,
2461,1996
2462,1997
2463,1997
2464,1996
2465,1996
2466,1997
2467,
2468,1996
2469,1996
2470,1996
2471,1996
2472,1997
2473,1996
2474,1997
2475,1997
2476,1997
2477,
2478,1996
2479,1995
2480,1997
2481,1996
2482,1996
2483,1996
2484,1997
2485,1996
2486,1997
2487,1997
2488,1996
2489,1996
2490,1996
2491,1998
2492,1998
2493,1997
2494,1996
2495,1997
2496,
2497,1997
2498,1997
2499,1997
2500,1997
2501,1998
2502,
2503,1998
2504,1998
2505,1998
2506,1997
2507,1997
2508,1998
2509,1997
2510,
2511,1997
2512,1997
2513,1997
2514,1998
2515,1998
2516,1998
2517,1997
2518,
2519,1997
2520,1998
2521,1997
2522,1998
2523,1997
2524,1998
2525,1997
2526,1997
2527,1997
2528,1997
2529,1997
2530,1997
2531,1997
2532,1997
2533,1998
2534,1998
2535,1998
2536,1998
2537,1998
2538,1999
2539,
2540,1999
2541,1999
2542,1999
2543,1998
2544,1998
2545,1999
2546,
2547,1998
2548,1998
2549,1999
2550,1997
2551,1999
2552,1999
2553,1997
2554,
2555,
2556,1998
2557,1998
2558,
2559,1998
2560,
2561,1999
2562,1999
2563,1998
2564,
2565,
2566,1998
2567,1999
2568,1998
2569,1998
2570,1998
2571,1998
2572,
2573,1999
2574,1997
2575,1999
2576,1998
2577,1998
2578,1998
2579,1998
2580,1999
2581,1998
2582,
2583,1998
2584,
2585,1999
2586,1999
2587,1999
2588,1999
2589,1999
2590,1999
2591,1998
2592,1999
2593,1999
2594,1998
2595,1999
2596,
2597,1998
2598,1998
2599,1999
2600,1999
2601,1999
2602,1999
2603,2000
2604,2000
2605,2000
2606,2000
2607,2000
2608,1999
2609,1999
2610,2000
2611,1999
2612,2000
2613,1999
2614,1999
2615,1999
2616,1999
2617,1998
2618,2000
2619,
2620,1999
2621,1999
2622,2000
2623,
2624,2000
2625,
2626,1999
2627,1999
2628,
2629,2000
2630,2000
2631,2000
2632,1999
2633,1999
2634,1999
2635,
2636,1999
2637,2000
2638,1999
2639,1999
2640,2000
2641,2000
2642,1999
2643,1999
2644,2000
2645,
2646,1999
2647,1999
2648,2000
2649,1999
2650,1999
2651,1999
2652,
2653,2000
2654,2000
2655,
2656,1999
2657,2000
2658,1999
2659,2000
2660,2001
2661,2001
2662,2001
2663,2000
2664,2000
2665,
2666,2000
2667,2001
2668,2001
2669,2000
2670,2000
2671,2001
2672,1999
2673,2001
2674,2000
2675,2000
2676,1999
2677,2000
2678,2000
2679,2000
2680,2000
2681,2000
2682,2001
2683,2000
2684,2001
2685,
2686,2000
2687,1999
2688,2001
